account   age,merchant,amount
3,M1823072687,6.44
4,M1823072687,62.89
2,M348934600,47.5
4,M1823072687,53.37
1,M1823072687,34.26
1,M348934600,19.28
2,M348934600,46.54
2,M348934600,28.74
2,M348934600,25
1,M1823072687,0.09
5,M1823072687,18.21
5,M1823072687,17.93
6,M1823072687,23.74
2,M85975013,31.87
3,M151143676,19
4,M1053599405,36.15
4,M1913465890,85.74
5,M1823072687,60.82
3,M1823072687,14.57
3,M1823072687,54.08
3,M348934600,26.24
5,M1823072687,24.19
5,M348934600,25.98
3,M1823072687,1.94
4,M1823072687,1.37
3,M348934600,50.79
4,M348934600,33.68
2,M1842530320,85.74
1,M1823072687,55.3
4,M1823072687,31.83
2,M1823072687,9.55
1,M348934600,33.5
4,M1823072687,59.61
2,M348934600,42.83
3,M1823072687,39.55
6,M348934600,11.99
3,M1823072687,15.25
2,M348934600,12.96
5,M1823072687,26.12
4,M1823072687,31.2
1,M1823072687,6.03
2,M348934600,46.29
4,M1053599405,85.74
5,M1823072687,41.36
3,M1823072687,13.53
2,M348934600,48.83
2,M1823072687,48.17
2,M1823072687,0.75
2,M151143676,34.54
3,M1823072687,26.12
4,M348934600,57
4,M1823072687,30.96
3,M348934600,18.43
2,M1823072687,59.55
2,M348934600,10.37
4,M547558035,85.74
4,M1823072687,36.62
2,M1823072687,24.4
4,M1823072687,44.21
6,M1823072687,38.62
6,M348934600,33.18
2,M1823072687,5.3
2,M348934600,44.02
2,M348934600,23.45
1,M348934600,46.48
2,M348934600,40.32
3,M348934600,35.78
5,M348934600,31.79
2,M348934600,12.1
3,M348934600,40.04
2,M1823072687,7.45
2,M1823072687,2.85
3,M677738360,34.89
3,M1823072687,6.63
3,M1823072687,34.03
2,M1823072687,2.87
2,M348934600,29.25
2,M1823072687,35.78
1,M1823072687,42.92
2,M1823072687,30.32
2,M1823072687,31.89
3,M348934600,10.81
2,M1823072687,17.63
1,M348934600,38.43
2,M348934600,11.32
3,M348934600,31.12
4,M1823072687,34.87
2,M1823072687,12.12
5,M348934600,6.26
4,M923029380,85.74
2,M1823072687,41.02
2,M348934600,63.96
4,M348934600,2.84
2,M1823072687,38.99
1,M348934600,11.65
3,M1823072687,13.79
4,M1823072687,54.04
2,M1823072687,45.01
3,M1823072687,4.55
1,M1823072687,18.49
3,M348934600,8.15
3,M1823072687,43.82
5,M348934600,2.58
4,M348934600,26.96
2,M348934600,40.31
4,M348934600,13.45
5,M1823072687,5.55
2,M855959430,55.81
2,M1823072687,39.19
2,M1823072687,24.2
2,M1823072687,8.22
6,M348934600,62.74
2,M1823072687,23.07
5,M348934600,37.53
3,M348934600,40.13
4,M348934600,23.63
2,M1823072687,41.3
5,M348934600,3.9
2,M1823072687,8.12
3,M348934600,26.62
2,M1053599405,10.02
1,M1823072687,39.59
5,M1823072687,22.91
2,M1823072687,50.65
4,M348934600,25.14
5,M480139044,85.74
5,M348934600,43.88
3,M348934600,33.76
2,M348934600,26.1
5,M348934600,2.71
2,M1946091778,48
4,M348934600,23.39
4,M1823072687,50.74
6,M1842530320,43.07
3,M1823072687,53.63
3,M1823072687,17.55
1,M348934600,10.02
3,M1823072687,40.77
3,M1823072687,39.18
5,M348934600,32.14
2,M348934600,14.21
3,M348934600,27.52
3,M348934600,26.31
3,M85975013,68.15
1,M1823072687,11.36
4,M348934600,69.31
1,M1823072687,5.07
2,M151143676,4.46
6,M348934600,30.61
3,M348934600,35.08
1,M1823072687,40.23
5,M348934600,8.55
3,M348934600,34.26
2,M480139044,85.74
4,M480139044,85.74
1,M348934600,43.84
2,M348934600,58.91
3,M348934600,19.38
4,M1823072687,22.71
2,M1823072687,5.43
4,M348934600,32.62
3,M348934600,28.6
2,M1823072687,19.14
5,M348934600,23.65
2,M1823072687,28.98
2,M1823072687,15.51
2,M1823072687,42.63
2,M1823072687,44.27
2,M1823072687,16.42
3,M1823072687,32.76
2,M1823072687,34.32
6,M1823072687,35.96
1,M1823072687,16.15
3,M348934600,43.42
3,M1823072687,55.83
5,M85975013,12.56
2,M348934600,28.9
2,M1823072687,0.72
1,M85975013,42.1
2,M1823072687,13.66
2,M1888755466,85.74
2,M348934600,18.09
2,M348934600,7.83
3,M348934600,62.26
3,M1872033263,11.79
3,M1823072687,5.83
3,M348934600,27.91
2,M1198415165,15.12
2,M855959430,41.07
5,M348934600,29.84
3,M1823072687,24.91
1,M1823072687,33.83
2,M1823072687,9.91
4,M1823072687,57.58
2,M348934600,38.36
2,M1823072687,35.92
2,M348934600,43.57
2,M348934600,85.21
1,M348934600,21.78
1,M1823072687,27.81
2,M348934600,20.16
1,M348934600,35.42
3,M1873032707,85.74
3,M1873032707,85.74
2,M348934600,5.56
3,M1823072687,15.62
2,M85975013,48.18
5,M348934600,18.02
6,M1823072687,10.72
5,M1823072687,42.54
2,M1823072687,4.18
3,M1823072687,69.23
1,M1823072687,14.42
5,M348934600,30.14
1,M1823072687,10.26
2,M348934600,37.42
4,M1823072687,42.44
4,M348934600,6.57
1,M348934600,63.77
3,M151143676,72.58
4,M1823072687,24.71
1,M348934600,15.22
6,M1823072687,37.27
2,M348934600,6.64
4,M348934600,11.02
5,M348934600,7.26
6,M348934600,30.16
5,M348934600,35.45
3,M1823072687,32.65
4,M1823072687,16.27
1,M1946091778,43.46
6,M1823072687,14.67
3,M348934600,15.01
3,M348934600,22.52
2,M348934600,56.47
5,M348934600,38.09
2,M1823072687,7.42
5,M1823072687,11.93
4,M1823072687,17.29
4,M1823072687,43.73
5,M1823072687,16.15
3,M1823072687,41.12
2,M348934600,35.08
4,M1823072687,26.37
4,M348934600,15.2
2,M348934600,14.98
3,M348934600,22.9
2,M348934600,10
4,M45060432,85.74
2,M348934600,10.86
1,M348934600,22.01
3,M209847108,37.7
1,M348934600,24.4
1,M1823072687,31.96
3,M1823072687,43.63
5,M855959430,68.37
2,M348934600,8.82
2,M348934600,49.32
2,M1823072687,27.83
5,M348934600,36.8
1,M348934600,34.89
3,M1823072687,14.27
3,M1823072687,25.94
2,M1823072687,14.22
3,M1823072687,3.49
1,M348934600,56.64
1,M1823072687,34.19
3,M348934600,44.31
3,M1823072687,32.4
5,M348934600,13.56
5,M1823072687,62.59
5,M348934600,15.18
1,M1823072687,15.92
3,M348934600,40.97
3,M1823072687,13.48
2,M348934600,13.81
1,M85975013,42.33
2,M1053599405,14.09
2,M1913465890,66.75
2,M85975013,20.65
2,M85975013,46.63
2,M1053599405,49.8
2,M1913465890,85.74
1,M1649169323,84.16
3,M1823072687,52.53
6,M348934600,10.3
3,M1823072687,42.7
4,M1823072687,20.9
4,M1823072687,14.84
2,M348934600,49.56
5,M348934600,35.05
5,M1842530320,10.07
4,M348934600,37.6
2,M1823072687,25.46
2,M1823072687,17.42
1,M209847108,73.08
1,M78078399,85.74
2,M840466850,10.64
3,M348934600,3.15
2,M855959430,7.29
2,M348934600,19.33
3,M348934600,14.68
4,M1823072687,14.24
3,M1946091778,24.55
2,M1823072687,52.4
3,M348934600,28.62
4,M1823072687,6.96
2,M1053599405,85.74
2,M85975013,0.76
4,M348934600,42.7
4,M209847108,15.08
1,M1053599405,85.74
4,M1823072687,10.7
4,M1823072687,7.27
2,M1823072687,28.54
3,M1823072687,68.4
2,M1823072687,18.95
3,M1823072687,38.38
2,M348934600,8.43
4,M1823072687,6.12
3,M855959430,23.87
3,M1823072687,2.69
3,M1823072687,9.13
5,M348934600,15.78
2,M1823072687,30.17
2,M1823072687,43.15
3,M1823072687,15.42
2,M209847108,85.74
2,M78078399,3.05
2,M97925176,7.48
4,M1823072687,26.96
2,M209847108,9.8
2,M78078399,56.98
2,M1823072687,62.15
1,M348934600,12.75
5,M348934600,42.97
3,M495352832,85.74
2,M348934600,22.23
5,M209847108,73.23
5,M78078399,85.74
2,M1823072687,13.46
2,M1823072687,1.41
6,M348934600,29.38
6,M1823072687,21.36
2,M348934600,4.64
4,M348934600,33.45
4,M1823072687,30.38
2,M348934600,32.28
5,M348934600,6.45
2,M85975013,71.4
3,M1823072687,25.32
5,M348934600,1.68
3,M348934600,5.42
4,M1823072687,25.97
2,M348934600,26.42
2,M1823072687,50.09
2,M1823072687,15.37
2,M1823072687,44.81
2,M348934600,27.75
6,M348934600,11.97
2,M1823072687,15.83
4,M348934600,62.04
4,M85975013,38.36
3,M348934600,27.73
3,M692898500,49.22
3,M50039827,12.79
4,M1823072687,68.32
1,M1823072687,12.32
3,M348934600,25.23
1,M348934600,28.12
5,M1823072687,29.01
5,M348934600,3.69
3,M1823072687,13.83
4,M348934600,10.96
4,M348934600,20.72
2,M85975013,7.01
4,M1823072687,17.1
3,M348934600,32.69
2,M348934600,8.4
4,M1823072687,28.05
3,M348934600,15.14
2,M1823072687,18.33
4,M85975013,1.72
2,M1823072687,19.92
3,M348934600,10.18
1,M348934600,41.21
2,M1823072687,56.23
3,M348934600,18.83
4,M348934600,33.36
3,M348934600,29.33
2,M348934600,6.98
3,M348934600,3.98
4,M1823072687,27.4
3,M348934600,36.36
1,M1823072687,24.32
5,M1823072687,27.98
3,M1823072687,74.31
2,M348934600,13.47
2,M1823072687,30.42
3,M348934600,38.44
2,M348934600,31.46
2,M1823072687,41.77
6,M1823072687,31.14
1,M348934600,47.22
3,M348934600,22.36
2,M151143676,37.22
3,M1823072687,7.95
4,M1823072687,15.58
3,M1823072687,16.71
3,M1823072687,41.86
3,M348934600,14.31
5,M1823072687,4.53
2,M1823072687,5.06
3,M85975013,1.99
3,M348934600,3.37
5,M348934600,46.7
5,M1823072687,52.92
1,M1823072687,43.73
2,M45060432,74.54
6,M1823072687,68.38
4,M348934600,17.33
2,M348934600,46.46
5,M348934600,51.02
3,M348934600,8.11
5,M348934600,12.28
1,M348934600,7.36
3,M480139044,85.74
3,M480139044,85.74
3,M1823072687,39.56
4,M85975013,11.44
5,M348934600,41.58
3,M1823072687,39.38
3,M348934600,14.24
3,M348934600,6.84
5,M348934600,7.75
5,M348934600,51.04
5,M348934600,16.39
3,M348934600,23.48
5,M348934600,10.86
3,M348934600,44.1
3,M1823072687,8.97
2,M348934600,55.29
2,M1823072687,31.19
2,M348934600,0.83
4,M1823072687,23.43
2,M1823072687,32.06
3,M209847108,25.01
3,M78078399,34.05
3,M97925176,20.22
2,M980657600,85.74
5,M980657600,85.74
3,M348934600,44.26
3,M1823072687,14.59
2,M1823072687,11.22
3,M1823072687,8.76
2,M209847108,85.74
3,M1823072687,35.11
2,M1649169323,71.01
3,M1823072687,44.27
5,M348934600,7.82
3,M348934600,3.9
3,M348934600,52.88
3,M1823072687,15.24
1,M1823072687,51.99
2,M1823072687,35.28
3,M85975013,38.18
3,M1823072687,2.08
2,M1823072687,57.3
4,M348934600,47.26
3,M348934600,24.46
3,M1823072687,31.81
3,M1823072687,38.63
2,M348934600,5
3,M151143676,1.74
2,M1823072687,8.86
4,M348934600,70.29
3,M348934600,3.82
3,M348934600,27.75
5,M348934600,24.85
5,M1823072687,1.76
2,M348934600,16.43
2,M348934600,42.88
5,M1823072687,10.56
2,M348934600,21.27
2,M1823072687,37.35
4,M151143676,45.11
6,M348934600,28.13
4,M85975013,36.2
3,M1823072687,28.26
2,M348934600,64.37
4,M209847108,27.49
4,M78078399,7.88
4,M97925176,31.47
4,M1946091778,27.02
4,M1823072687,4.67
4,M1823072687,20.19
3,M1823072687,23.19
3,M85975013,34.09
4,M348934600,6.69
5,M85975013,61.73
3,M348934600,41.26
1,M85975013,1.5
2,M348934600,17.16
2,M1823072687,0.84
5,M1823072687,36.74
5,M1823072687,64.35
6,M348934600,5.11
3,M85975013,44.55
4,M348934600,71.82
5,M85975013,42.96
2,M1823072687,13.88
2,M1823072687,22.44
2,M348934600,41.08
5,M348934600,30.51
3,M1823072687,29.12
3,M348934600,35.18
3,M1823072687,11.36
4,M1823072687,27.69
3,M1823072687,14.72
4,M1352454843,77.62
2,M1823072687,16.37
2,M348934600,50.52
3,M348934600,11.03
4,M348934600,34.96
4,M348934600,31.25
2,M348934600,25.09
2,M348934600,28.8
6,M1823072687,42.7
2,M209847108,66.5
4,M348934600,21.81
3,M1823072687,73.4
3,M348934600,0.21
3,M1823072687,30.97
1,M1823072687,52.57
5,M1823072687,13.15
5,M1823072687,18.47
2,M1823072687,6.22
3,M85975013,28.98
2,M1053599405,65.15
2,M1823072687,5.28
2,M1823072687,42.43
4,M348934600,18.65
2,M348934600,71.56
4,M348934600,12.55
3,M1823072687,22.48
2,M348934600,41.17
4,M348934600,11.56
3,M348934600,41.64
5,M85975013,19.49
3,M1823072687,25.95
4,M1823072687,21.46
2,M348934600,46.79
2,M1823072687,44.73
5,M1823072687,4.01
4,M1823072687,20.22
3,M348934600,56.31
3,M1823072687,40.81
2,M1823072687,47.37
2,M1823072687,30.34
2,M1823072687,10.82
2,M348934600,15.81
5,M348934600,48.83
3,M1823072687,11.21
3,M1823072687,40.27
2,M1823072687,18.14
3,M1823072687,35.68
2,M348934600,45.21
4,M348934600,3.07
5,M348934600,23.55
5,M1823072687,13.2
3,M1823072687,22.95
2,M348934600,19.79
4,M348934600,10.23
2,M348934600,20.69
4,M1823072687,5.7
2,M348934600,24.33
6,M348934600,10.47
2,M348934600,31.59
2,M1823072687,35
5,M1823072687,6.92
2,M151143676,1.94
3,M1823072687,44.61
3,M348934600,13.3
3,M1823072687,48.25
2,M1823072687,61.56
2,M1823072687,31.04
2,M1823072687,1.07
2,M348934600,35.32
3,M1400236507,29.94
1,M1946091778,51.95
3,M348934600,19.15
1,M1823072687,9.68
0,M348934600,5.64
3,M348934600,19.1
1,M1741626453,85.74
5,M1741626453,55.97
4,M348934600,35.94
2,M1823072687,44.83
2,M348934600,22.27
5,M348934600,5.01
5,M1823072687,1.88
6,M1823072687,7.16
6,M855959430,11.29
6,M1823072687,65.99
5,M348934600,39.19
3,M85975013,60.29
2,M1823072687,13.24
2,M1823072687,27.15
2,M348934600,26.73
4,M1823072687,8.8
5,M85975013,76.78
4,M1823072687,50.42
3,M1823072687,39.32
6,M1823072687,27.17
4,M348934600,42.81
2,M1823072687,36.1
4,M1823072687,14.03
2,M1823072687,27.54
2,M348934600,0.42
2,M1823072687,9.18
5,M348934600,22.49
5,M348934600,19.08
1,M1823072687,10.94
5,M1823072687,9.99
3,M1823072687,28.25
3,M1823072687,40.08
1,M1823072687,13.54
4,M1823072687,4.41
2,M348934600,39.7
1,M85975013,30.84
6,M1842530320,67.75
4,M1823072687,34.3
3,M348934600,9.42
2,M348934600,45.51
1,M1823072687,31.77
4,M348934600,20.61
3,M348934600,21.2
2,M348934600,11.86
6,M348934600,25.32
3,M1823072687,20.08
2,M1823072687,8.5
1,M349281107,39.76
6,M1823072687,23.39
3,M85975013,65.66
4,M348934600,28.6
3,M348934600,25.24
2,M1823072687,28.21
3,M348934600,30.97
1,M1823072687,25.15
2,M1823072687,42.32
3,M85975013,85.74
6,M348934600,48.42
2,M348934600,8.31
2,M1823072687,6.63
5,M348934600,40.08
3,M1823072687,8.99
5,M348934600,19.33
3,M1823072687,39.74
1,M348934600,36.3
2,M1823072687,2.29
6,M85975013,40.3
2,M1823072687,40.16
2,M348934600,0.58
4,M348934600,9.53
4,M480139044,39.85
4,M50039827,85.74
2,M1823072687,21.32
3,M348934600,4.35
4,M1823072687,20.7
1,M348934600,47.08
4,M1823072687,61.07
4,M1823072687,17.51
1,M348934600,32.5
4,M348934600,10.67
1,M1823072687,3.48
4,M348934600,62.46
3,M1823072687,23.59
1,M1823072687,34.3
2,M348934600,50.72
1,M1823072687,3.45
2,M692898500,35.1
2,M1823072687,44.44
5,M348934600,7.84
2,M855959430,16.86
1,M348934600,25.87
5,M348934600,23.83
1,M1823072687,15.41
3,M348934600,0.51
5,M1823072687,24.53
4,M348934600,51.43
4,M348934600,17.31
2,M348934600,38.7
5,M1823072687,0.43
1,M348934600,33.46
5,M1823072687,33.67
3,M348934600,39.3
1,M1823072687,25.73
3,M1823072687,57.52
3,M1823072687,30.21
1,M2011752106,85.74
4,M2011752106,85.74
4,M348934600,9.39
2,M1823072687,27.12
2,M348934600,5.96
2,M348934600,14.47
2,M1823072687,24.49
4,M1823072687,39.88
3,M348934600,31.59
3,M1053599405,69.67
3,M1823072687,35.57
2,M1823072687,22.02
2,M1823072687,44.37
1,M348934600,3.29
2,M1053599405,85.74
2,M1913465890,85.74
3,M1823072687,8.03
5,M348934600,16.31
1,M1053599405,84.34
1,M1913465890,85.74
2,M85975013,8.93
2,M348934600,25.18
3,M1823072687,73.36
2,M348934600,1.06
3,M348934600,16.76
4,M1823072687,14.79
2,M348934600,16.95
2,M1823072687,14.59
1,M348934600,42.63
4,M1053599405,85.74
4,M1913465890,73.84
4,M1823072687,42.61
2,M1823072687,33.66
2,M1823072687,37.64
4,M85975013,47.51
2,M1823072687,15.72
2,M85975013,64.69
3,M348934600,38.26
3,M1823072687,85.19
5,M348934600,5.02
3,M1823072687,5.67
6,M348934600,5.8
2,M209847108,25.33
2,M78078399,76.89
2,M348934600,63.34
5,M1823072687,20.02
5,M1823072687,40.04
4,M348934600,41.03
5,M1823072687,20.31
2,M348934600,51.67
2,M209847108,19.71
2,M78078399,85.74
2,M97925176,40.41
3,M732195782,85.74
3,M732195782,85.74
2,M348934600,32.82
2,M348934600,29.22
3,M348934600,3.38
1,M348934600,0.49
2,M348934600,19.92
3,M1823072687,12.88
3,M348934600,6.43
4,M348934600,32.03
4,M1823072687,13.63
2,M1823072687,37.06
1,M1823072687,21.99
4,M348934600,25.74
5,M348934600,23.83
4,M348934600,25.69
5,M348934600,4.61
2,M1823072687,16.69
2,M151143676,43.49
1,M1823072687,6.36
3,M1053599405,85.74
3,M1913465890,10.8
5,M1823072687,5.13
3,M1823072687,61.95
4,M348934600,13.96
4,M1823072687,73.3
5,M1823072687,8.85
3,M1823072687,7.95
4,M348934600,25.72
2,M1823072687,6.63
3,M348934600,14.33
1,M348934600,20.23
3,M1823072687,38.39
2,M1823072687,13.91
2,M348934600,2.64
4,M348934600,31.53
3,M1823072687,9.06
2,M348934600,45.95
2,M1823072687,16.23
4,M1823072687,6.71
3,M1823072687,37.29
3,M348934600,46.17
3,M1823072687,30.45
4,M348934600,37.22
1,M348934600,16.51
2,M1823072687,39.7
4,M1823072687,8.07
2,M1823072687,17.44
3,M85975013,69.9
1,M348934600,54.31
4,M348934600,12.68
2,M1823072687,32.16
6,M348934600,15.38
3,M1823072687,15.97
5,M85975013,50.31
5,M1823072687,17.33
2,M348934600,44.02
4,M855959430,56.91
2,M1823072687,35.49
2,M1823072687,19.26
2,M151143676,66.08
2,M1823072687,70.44
4,M1823072687,18.48
2,M85975013,61.67
2,M1823072687,30.92
5,M1823072687,32.6
2,M1946091778,40.59
2,M348934600,51.64
5,M1823072687,22.73
1,M348934600,41.9
2,M1823072687,23.81
5,M1872033263,85.74
2,M348934600,64.97
2,M1823072687,13.52
2,M1823072687,29.07
3,M1823072687,50.98
3,M1823072687,40.95
5,M1823072687,29.11
1,M85975013,26.54
5,M348934600,14.7
3,M1823072687,27.03
2,M1823072687,33.06
2,M348934600,47.82
5,M348934600,23.24
3,M85975013,85.74
3,M1823072687,63.4
1,M348934600,21.89
4,M85975013,2.42
2,M1823072687,20.64
1,M1823072687,48.1
5,M1823072687,29.94
2,M1823072687,35.29
4,M348934600,15.87
2,M348934600,26.44
5,M1823072687,11.69
3,M209847108,10.57
4,M1823072687,54.58
2,M348934600,36.91
4,M1823072687,15.16
4,M1823072687,58.75
3,M348934600,11.93
2,M85975013,13.67
3,M1823072687,1.1
2,M1053599405,7.26
6,M348934600,32.05
2,M1823072687,22.77
1,M1823072687,20.69
3,M1823072687,3.48
3,M1823072687,36.81
3,M1823072687,37.87
4,M1823072687,50.66
1,M348934600,31.02
2,M348934600,14.91
4,M1823072687,17.02
3,M1823072687,25.26
2,M348934600,36.19
5,M348934600,20.91
2,M348934600,17.92
5,M1823072687,7.47
2,M348934600,37.65
2,M1823072687,42.71
2,M348934600,30.98
3,M1823072687,13.19
3,M1823072687,44.65
4,M1823072687,51
3,M348934600,20.96
6,M348934600,6.79
4,M1823072687,36.77
3,M1823072687,33.49
2,M85975013,32.9
6,M348934600,22.39
5,M348934600,1.08
4,M1823072687,5.89
2,M1823072687,12.42
1,M1823072687,14.18
2,M1823072687,21.1
2,M1823072687,27.97
2,M1823072687,1.94
4,M1823072687,30.16
4,M1823072687,27.58
3,M1600850729,37.16
1,M1823072687,25.89
5,M348934600,44
5,M1823072687,37.69
4,M348934600,47.95
2,M1823072687,29.62
3,M980657600,85.74
4,M348934600,74.11
2,M1823072687,17.12
4,M348934600,44.9
4,M348934600,37.84
3,M1823072687,25.3
2,M209847108,33.94
2,M348934600,41.56
5,M1823072687,44.42
3,M348934600,29.22
6,M1823072687,23.06
3,M1823072687,51.6
4,M348934600,34.52
4,M1823072687,11.17
3,M348934600,7.5
4,M1823072687,64.11
4,M348934600,37.53
1,M348934600,11.37
3,M1823072687,30.53
2,M348934600,29.69
5,M1053599405,2.86
2,M1823072687,28.52
1,M348934600,49.1
2,M855959430,41.73
2,M1823072687,45.54
3,M348934600,6.24
4,M85975013,36.68
1,M348934600,26.57
2,M348934600,52.59
2,M348934600,14.86
2,M1823072687,1.36
1,M348934600,46.41
2,M1823072687,11.72
5,M855959430,85.74
2,M1823072687,3.98
5,M348934600,50.83
4,M1823072687,44.99
4,M1823072687,16.93
2,M348934600,18.04
1,M1823072687,22.37
3,M85975013,55.46
4,M348934600,9.2
2,M348934600,83.19
2,M1823072687,77.61
3,M1823072687,16.05
2,M1600850729,60.79
2,M1823072687,29.25
3,M1823072687,39.84
2,M348934600,27.23
3,M1823072687,16.77
2,M85975013,20.07
3,M1823072687,7.52
5,M348934600,19.76
2,M1823072687,31.84
4,M1313686961,85.74
5,M348934600,15.49
2,M85975013,41.53
1,M348934600,42.32
3,M348934600,12.27
4,M348934600,22.81
2,M348934600,33.28
3,M1823072687,25.61
2,M348934600,30.98
2,M1823072687,24.28
1,M348934600,12.12
5,M348934600,12.14
2,M1823072687,22.2
4,M840466850,0.73
4,M1416436880,0.89
4,M348934600,13.44
3,M348934600,44.72
1,M1823072687,57.64
3,M1823072687,27.02
3,M348934600,17.92
1,M1823072687,27.78
5,M348934600,26.21
6,M348934600,48.34
3,M151143676,55.16
2,M1946091778,22.47
3,M1823072687,59.53
2,M348934600,40.66
3,M1823072687,28.39
2,M1823072687,42.72
5,M1823072687,20.34
3,M348934600,19.4
2,M1823072687,21.72
3,M1823072687,36.81
3,M151143676,15.89
4,M348934600,46.91
2,M348934600,25.3
3,M348934600,18.16
3,M348934600,32.08
2,M1823072687,13.57
5,M1823072687,18.62
4,M348934600,26.22
2,M1823072687,20.15
3,M348934600,36.83
3,M348934600,30.37
3,M348934600,6.91
3,M1053599405,85.74
3,M1913465890,46.25
5,M1823072687,48.91
3,M348934600,1.4
2,M85975013,11.04
4,M1823072687,85.74
5,M348934600,19.37
3,M1823072687,6.17
2,M348934600,22.88
3,M1823072687,24.03
2,M85975013,55.04
2,M840466850,85.74
5,M840466850,85.74
1,M1823072687,34.69
2,M348934600,26.48
3,M1823072687,42.37
5,M348934600,19.43
1,M85975013,2.69
4,M348934600,34.67
2,M348934600,55.77
4,M1823072687,19.43
5,M1823072687,39.45
3,M1823072687,60
2,M348934600,39.41
3,M1823072687,40.15
2,M1823072687,62.96
5,M348934600,39
2,M348934600,20.13
3,M1823072687,34.32
4,M348934600,29.77
1,M1600850729,50.66
2,M1053599405,85.74
2,M1913465890,2.65
2,M85975013,51
4,M1823072687,61.55
2,M348934600,76.86
2,M1823072687,9.84
2,M1823072687,22.71
3,M1823072687,13.12
2,M348934600,12.61
3,M1823072687,37.79
5,M1823072687,48.78
2,M1823072687,15.49
4,M348934600,12.6
2,M348934600,24.49
4,M1823072687,33.31
4,M1823072687,78.05
4,M1823072687,43.08
3,M1823072687,2.38
4,M1823072687,7.53
2,M1823072687,17.16
2,M1823072687,48.35
3,M348934600,36.17
2,M85975013,63.32
4,M348934600,29.52
3,M1823072687,11.25
2,M348934600,25.61
3,M348934600,11.7
3,M1823072687,8.33
5,M348934600,11.39
4,M1823072687,31.3
2,M348934600,10.68
2,M1823072687,39.27
2,M1823072687,35.39
3,M85975013,3.9
3,M348934600,0.19
4,M1823072687,33.47
3,M1823072687,12.83
2,M348934600,39.78
2,M1823072687,38.56
1,M348934600,44.44
2,M85975013,34.52
2,M480139044,61.26
2,M50039827,37.68
2,M1823072687,36.56
4,M1823072687,28.96
2,M1823072687,10.66
1,M1823072687,13.37
3,M1823072687,45.25
4,M1823072687,25.37
2,M1823072687,8.41
3,M1946091778,47.37
4,M1823072687,76.42
4,M348934600,6.45
2,M1823072687,27.75
1,M1823072687,5.26
1,M348934600,21.83
2,M348934600,54.34
2,M1823072687,18.18
5,M1823072687,13.4
1,M1823072687,16.26
3,M1823072687,5.85
2,M85975013,68.08
4,M1823072687,39.82
4,M1823072687,6.87
3,M348934600,4.03
2,M209847108,38.94
2,M78078399,38.82
2,M348934600,18.93
2,M348934600,7
5,M1823072687,24.51
2,M1823072687,46.38
4,M855959430,85.74
4,M1823072687,17.38
4,M692898500,38.84
4,M1823072687,30.46
3,M1823072687,13.15
5,M348934600,15.41
2,M348934600,53.99
2,M348934600,13.67
4,M348934600,17.16
5,M1823072687,19.3
2,M1823072687,59.4
2,M348934600,16.05
3,M348934600,1.79
5,M348934600,46.52
2,M1823072687,30.06
3,M1823072687,3.61
3,M348934600,10.47
1,M85975013,28.99
2,M348934600,28.28
1,M348934600,12.07
3,M1823072687,39.23
1,M348934600,51.52
1,M1823072687,14.97
2,M1823072687,35.87
5,M348934600,41.84
3,M348934600,11.03
1,M348934600,4.71
2,M348934600,13.44
3,M348934600,48.15
2,M348934600,13.38
2,M1823072687,25.08
1,M1823072687,43.26
4,M1823072687,61.39
1,M1823072687,35.9
3,M348934600,44.08
3,M348934600,16.5
3,M1823072687,12.51
1,M348934600,5.83
4,M348934600,19.84
2,M1823072687,4.01
4,M1823072687,43.79
2,M1053599405,27.17
5,M855959430,10.96
3,M1823072687,31.21
2,M151143676,0.53
4,M1823072687,8.09
2,M85975013,14.5
2,M1823072687,38.81
2,M348934600,40.54
3,M348934600,46.04
2,M1823072687,45.37
3,M1823072687,31.85
3,M1946091778,67.64
2,M1823072687,57.44
3,M85975013,46.31
2,M348934600,35.32
3,M348934600,45.94
4,M209847108,3.21
4,M78078399,80.78
1,M209847108,85.74
2,M348934600,0.36
2,M1823072687,21.06
5,M1823072687,21.45
5,M980657600,25.19
5,M980657600,85.74
4,M348934600,32.96
4,M348934600,38.08
4,M1823072687,18.44
2,M348934600,40.27
2,M1823072687,25.72
3,M348934600,8.75
3,M1823072687,8.8
5,M348934600,23.99
3,M348934600,18.21
3,M1823072687,43.11
5,M1823072687,36.82
2,M348934600,33.3
4,M209847108,61.92
4,M348934600,21.07
3,M1823072687,17.15
2,M348934600,69.55
3,M348934600,1.73
3,M1823072687,43.6
4,M480139044,85.74
2,M480139044,85.74
3,M1053599405,44
3,M1913465890,85.74
1,M1823072687,46.45
3,M1823072687,31.89
3,M348934600,37.71
5,M1823072687,41.79
1,M348934600,23.92
4,M1823072687,16.23
1,M85975013,12.49
1,M1823072687,30.71
3,M1823072687,2.62
2,M348934600,26.18
3,M348934600,58.02
3,M348934600,10.58
2,M348934600,30.99
2,M348934600,62.89
4,M348934600,40.26
5,M348934600,27.68
3,M1823072687,10.2
2,M1946091778,60.29
2,M348934600,48.6
3,M480139044,6.59
6,M348934600,43.91
4,M348934600,66.22
3,M1823072687,6.79
3,M480139044,44.75
4,M480139044,85.74
1,M1823072687,25.37
5,M1823072687,50.4
2,M1823072687,24.87
4,M1823072687,30.07
4,M348934600,0.7
6,M348934600,31.5
2,M1823072687,36.28
3,M348934600,9.21
4,M1823072687,8.38
